q,off_passed,on_passed,off_match_type,on_match_type,off_failure_category,on_failure_category,query,expected,off_actual,on_actual
1,True,True,component_match,component_match,,,Who is the CEO of Nexus Industries?,Dr. Victoria Chen,"The retrieved information does not specify who the CEO of Nexus Industries is. It only mentions that Victoria Chen works at Nexus Industries, but it does not indicate her role or if she is the CEO. Therefore, the information regarding the CEO of Nexus Industries is incomplete.","The retrieved information does not specify who the CEO of Nexus Industries is. It only mentions that Victoria Chen works at Nexus Industries, but it does not indicate her role or if she is the CEO. Therefore, the information regarding the CEO of Nexus Industries is incomplete."
2,False,False,no_match,no_match,MISMATCH,MISMATCH,What is the name of the CFO?,Michael Chang,The name of the CFO is Hedging Policy. This is the authoritative answer based on the current organizational structure.,The name of the CFO is Hedging Policy.
3,True,True,exact_match,exact_match,,,Who is the President of Nexus Digital Solutions?,Robert Kim,"The retrieved information does not specify who the President of Nexus Digital Solutions is. It only indicates that Robert Kim works at Nexus Digital Solutions, but it does not clarify his role or position within the organization. Therefore, I cannot provide the name of the President of Nexus Digital Solutions based on the available data.","The retrieved information does not specify who the President of Nexus Digital Solutions is. It only indicates that Robert Kim works at Nexus Digital Solutions, but it does not clarify his role or position within the organization. Therefore, I cannot provide the name of the President of Nexus Digital Solutions based on the available data."
4,True,True,exact_match,exact_match,,,Who is the Chief Engineer for the Falcon X program?,Dr. Elena Rodriguez,"The Chief Engineer for the Falcon X program is Dr. Elena Rodriguez. She is mentioned in multiple documents related to the program, including engineering reviews and technical specifications.","The Chief Engineer for the Falcon X program is Dr. Elena Rodriguez. She is mentioned in multiple documents related to the program, including engineering review minutes and technical specifications."
5,True,True,exact_match,exact_match,,,Who is the Empowered Official for ITAR compliance?,Col. (Ret.) James Foster,"The Empowered Official for ITAR compliance is Col. (Ret.) James Foster, who serves as the VP of Government Programs. He is responsible for signing export license applications, approving ITAR agreements, and overseeing the compliance program.","The Empowered Official for ITAR compliance is Col. (Ret.) James Foster, who serves as the VP of Government Programs. His responsibilities include signing export license applications, approving ITAR agreements, and overseeing the compliance program."
6,True,True,exact_match,exact_match,,,What was Nexus Industries' revenue in FY2025?,$8.45 billion,"Nexus Industries' revenue in FY2025 was **$8.45 billion**. This represents a growth of approximately **10.9%** compared to FY2024, where the revenue was **$7.62 billion**.

---
**Confidence: Medium (80%)**

**Why:** Multiple percentage values found in source: ['5.2%', '13.7%', '22%', '11.7%', '10.6%', '8.1%', '23.0%', '20.0%', '34.0%', '19.8%', '10.7%', '17.6%', '17.9%', '5%', '8.5%', '12.3%', '34%', '3.5%', '2.0%', '11.5%', '15.2%', '20.6%', '8%', '16.0%', '14.4%', '16%', '8.3%', '6.5%', '22.8%","Nexus Industries' revenue in FY2025 was **$8.45 billion**. This represents a growth of **10.9%** compared to FY2024, where the revenue was **$7.62 billion**.

---
**Confidence: Medium (80%)**

**Why:** Multiple percentage values found in source: ['5.2%', '13.7%', '22%', '11.7%', '10.6%', '8.1%', '23.0%', '20.0%', '34.0%', '19.8%', '10.7%', '17.6%', '17.9%', '5%', '8.5%', '12.3%', '34%', '3.5%', '2.0%', '11.5%', '15.2%', '20.6%', '8%', '16.0%', '14.4%', '16%', '8.3%', '6.5%', '22.8%', '4.6%', '10"
7,True,True,exact_match,exact_match,,,How many employees does Nexus Industries have?,"12,500","Nexus Industries employs a total of **12,500 employees** worldwide. This figure is broken down by region as follows: 1. **North America**: 10,850 employees - **Headquarters in Phoenix, Arizona**: 2,500 employees - **Nexus Aerospace Division in Tucson, Arizona**: 3,200 employees - **Nexus Energy Systems Division in Houston, Texas**: 850 employees - **Nexus Energy Systems Division in El Paso, Texas**: 45 employees (at full operation) - **Flight Test Center in Mojave, California**: 180 employees 2.","Nexus Industries employs a total of **12,500 employees** worldwide. This figure is broken down by region as follows: 1. **North America**: 10,850 employees - **Headquarters in Phoenix, Arizona**: 2,500 employees - **Nexus Aerospace Division in Tucson, Arizona**: 3,200 employees - **Nexus Energy Systems Division in Houston, Texas**: 850 employees - **Nexus Energy Systems Division in El Paso, Texas**: 45 employees (at full operation) - **Flight Test Center in Mojave, California**: 180 employees 2."
8,True,True,exact_match,exact_match,,,What is the budget for the Falcon X UAV program?,$145 million,"The budget for the Falcon X UAV program is **$145 million**, which has been approved. The program is currently reported to be on schedule and under budget, with a status indicating it is approximately **$3.2 million under budget** as of the latest review.

---
**Confidence: Medium (80%)**

**Why:** Multiple currency values found in source: ['$78M', '$67M', '$22M', '$7M', '$145.0M', '$225M', '$11.5M', '$15M', '$0M', '$14M', '$0.5M', '$525M', '$3.2M', '$14.7M', '$65M', '$59M', '$1.8M', '$35 millio","The budget for the Falcon X UAV program is **$145 million**, which has been approved. The program is currently reported to be on schedule and under budget, with a status indicating it is approximately **$3.2 million under budget** as of the latest review.

---
**Confidence: Medium (80%)**

**Why:** Multiple currency values found in source: ['$78M', '$67M', '$22M', '$7M', '$145.0M', '$225M', '$11.5M', '$15M', '$0M', '$14M', '$0.5M', '$525M', '$3.2M', '$14.7M', '$65M', '$59M', '$1.8M', '$35 millio"
9,True,True,exact_match,exact_match,,,What is the total investment in the Toyota joint venture?,$312 million,"The total investment in the Toyota joint venture, named **NextGen Battery Technologies LLC**, is **$312 million**. This investment is split between Nexus Industries, which contributes **$159 million**, and Toyota, which contributes **$153 million**. ---
**Confidence: High (90%)** **Why:** The investment details were explicitly stated in multiple documents related to the joint venture agreement.","The total investment in the Toyota joint venture, named NextGen Battery Technologies LLC, is **$312 million**. This investment is split between Nexus Industries, which contributes **$159 million**, and Toyota, which contributes **$153 million**. ---
**Confidence: High (90%)** **Why:** The investment details are clearly outlined in multiple sources, confirming the total and individual contributions from both companies."
10,True,True,component_match,component_match,,,What is the value of the Shell hydrogen offtake agreement?,$450 million over 10 years,"The value of the Shell hydrogen offtake agreement is approximately **$450 million** over a term of 15 years, from 2028 to 2043. The agreement includes a guaranteed annual volume of **5,475 tonnes** of hydrogen, with a base price set at **$4.50 per kilogram**, which will escalate by **2% annually**. The total contract value reflects the projected payments based on the agreed pricing and volume terms.

---
**Confidence: Medium (80%)**

**Why:** Multiple percentage values found in source: ['50%', '","The value of the Shell hydrogen offtake agreement is approximately **$450 million** over a term of 15 years, from 2028 to 2043. The agreement includes a guaranteed minimum volume of 15 tonnes of hydrogen per day, which translates to an annual volume of 5,475 tonnes. The pricing mechanism features a base price of $4.50 per kilogram, with a 2% annual escalation. The total contract value reflects the expected revenue from this hydrogen supply arrangement.

---
**Confidence: Medium (80%)**

**Why:**"
11,True,True,component_match,component_match,,,When is the first flight of the Falcon X UAV expected?,May 2026 (or Q2 2026),"The first flight of the Falcon X UAV is expected to take place in May 2026. The program is currently on schedule and under budget, with all technical milestones achieved leading up to this target.","The first flight of the Falcon X UAV is expected to take place in May 2026. The program is currently on schedule and under budget, with all technical milestones achieved leading up to this target."
12,True,True,exact_match,exact_match,,,When did the GreenHydrogen facility produce its first hydrogen?,"March 20, 2026","The GreenHydrogen facility produced its first hydrogen on March 20, 2026, at 10:47 AM CDT. This milestone marks a significant achievement for Nexus Industries and its Energy Systems Division, as the facility is now operational and capable of producing hydrogen at an initial rate of 85 kg H₂/hour with a purity of 99.9997%.

---
**Confidence: Medium (80%)**

**Why:** Multiple percentage values found in source: ['99.9997%', '100%', '10.0%', '99.999%', '15.7%', '14.4%', '9.8%', '95%', '15.6%', '92%'","The GreenHydrogen facility produced its first hydrogen on March 20, 2026, at 10:47 AM CDT. This milestone marks a significant achievement for Nexus Industries and its Energy Systems Division, as the facility is now operational and capable of producing hydrogen at an initial rate of 85 kg H₂/hour with a purity of 99.9997%.

---
**Confidence: Medium (80%)**

**Why:** Multiple percentage values found in source: ['99.9997%', '100%', '10.0%', '99.999%', '15.7%', '14.4%', '9.8%', '95%', '15.6%', '92%'"
